question,k,gold_chunk_ids,retrieved_chunk_ids,first_hit_rank,hit,hit_rate
What is the source of the information mentioned in the footnote?,1,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,yanbaopptmerge_baa6d02928efcac46ccf7dfd3859de565cfb0bea918ae0ec0eed50944a7c20b4.pdf_11_p11_c3,0,False,0.0
What is the source of the information mentioned in the footnote?,3,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,"yanbaopptmerge_baa6d02928efcac46ccf7dfd3859de565cfb0bea918ae0ec0eed50944a7c20b4.pdf_11_p11_c3,jiaocaineedrop_jiaocai_needrop_en_1118_p1118_c0,yanbaopptmerge_0c79d327060dbf9f1582d03c235dadb039533a19091d2c0d24f2ad95d267f79b.pdf_2_p2_c2",0,False,0.0
What is the source of the information mentioned in the footnote?,5,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,"yanbaopptmerge_baa6d02928efcac46ccf7dfd3859de565cfb0bea918ae0ec0eed50944a7c20b4.pdf_11_p11_c3,jiaocaineedrop_jiaocai_needrop_en_1118_p1118_c0,yanbaopptmerge_0c79d327060dbf9f1582d03c235dadb039533a19091d2c0d24f2ad95d267f79b.pdf_2_p2_c2,yanbaopptmerge_5473246b8da789b9bfdeef53a70c4d72afd480415d5cbcedb83d105856710328.pdf_8_p8_c0,newspaper_The Globe and Mail - 2025-1-8@magazinesclubnew_page_014_p14_c13",0,False,0.0
What channels can foreign managers consider for financial literacy education besides digital platforms?,1,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c1,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c1,1,True,1.0
What channels can foreign managers consider for financial literacy education besides digital platforms?,3,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c1,"yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c1,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c2",1,True,1.0
What channels can foreign managers consider for financial literacy education besides digital platforms?,5,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c1,"yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c1,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c2,newspaper_The Wall Street Journal - 2025-01-08@magazinesclubnew_page_018_p18_c1,yanbaor2_7f386f737cb55cffa10c8321a94bd38d7169cd69b3b253b9e2e502c12a68feea.pdf_15_p15_c0",1,True,1.0
What do foreign managers have access to?,1,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c2,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c1,0,False,0.0
What do foreign managers have access to?,3,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c2,"yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c1,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c2,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0",2,True,1.0
What do foreign managers have access to?,5,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c2,"yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c1,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c2,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,yanbaor2_89c3718f5a45179ef57a5063c6df36fc2c9b7e3ab4275f4905ed89f1c17232ea.pdf_14_p14_c0,yanbaor2_f832cad1f46c067198e9df95ae7b150213f16805037c1a5725e72245010d3e97.pdf_3_p3_c2",2,True,1.0
盐池县女子小学最初设立的地点在哪里？,1,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c0,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c0,1,True,1.0
盐池县女子小学最初设立的地点在哪里？,3,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c0,"docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c0,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c3,newspaper_0b1bb8d03b4287eb95f67b68c2cf9f92_1_p1_c27",1,True,1.0
盐池县女子小学最初设立的地点在哪里？,5,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c0,"docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c0,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c3,newspaper_0b1bb8d03b4287eb95f67b68c2cf9f92_1_p1_c27,newspaper_0b1bb8d03b4287eb95f67b68c2cf9f92_1_p1_c4,newspaper_0b1bb8d03b4287eb95f67b68c2cf9f92_1_p1_c3",1,True,1.0
What is the total number of students in the last row?,1,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,1,True,1.0
What is the total number of students in the last row?,3,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,"docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c2,PPT_PresentationSpecification_page_007_p7_c0",1,True,1.0
What is the total number of students in the last row?,5,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,"docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c2,PPT_PresentationSpecification_page_007_p7_c0,newspaper_The Globe and Mail - 2025-1-8@magazinesclubnew_page_014_p14_c14,exam_paper_en-file-putnam-archive_1995_Solutions_1995s_page_002_p2_c3",1,True,1.0
What is the total number of entries in the last row of the table?,1,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c2,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c2,1,True,1.0
What is the total number of entries in the last row of the table?,3,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c2,"docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c2,newspaper_The Globe and Mail - 2025-1-8@magazinesclubnew_page_014_p14_c14,book_en_[搬书匠#893][Pyomo—Optimization Modeling in Python].2012.英文版_page_188_p188_c0",1,True,1.0
What is the total number of entries in the last row of the table?,5,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c2,"docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c2,newspaper_The Globe and Mail - 2025-1-8@magazinesclubnew_page_014_p14_c14,book_en_[搬书匠#893][Pyomo—Optimization Modeling in Python].2012.英文版_page_188_p188_c0,newspaper_The Globe and Mail - 2025-1-8@magazinesclubnew_page_014_p14_c12,exam_paper_en-file-putnam-archive_1995_Solutions_1995s_page_002_p2_c3",1,True,1.0
What is the deadline for submitting the Group Presentation Topic and Description?,1,PPT_PresentationSpecification_page_007_p7_c0,PPT_PresentationSpecification_page_007_p7_c0,1,True,1.0
What is the deadline for submitting the Group Presentation Topic and Description?,3,PPT_PresentationSpecification_page_007_p7_c0,"PPT_PresentationSpecification_page_007_p7_c0,newspaper_fe5ed29024932fad071afc53807b16ba_1_p1_c1,newspaper_The Globe and Mail - 2025-1-8@magazinesclubnew_page_014_p14_c0",1,True,1.0
