question,k,gold_chunk_ids,retrieved_chunk_ids,first_hit_rank,hit,hit_rate
这段内容主要讲解的是什么数学规则？,1,PPT_StewartCalcET7e_03_02_page_007_p7_c0,PPT_ch7_page_020_p20_c3,0,False,0.0
这段内容主要讲解的是什么数学规则？,3,PPT_StewartCalcET7e_03_02_page_007_p7_c0,"PPT_ch7_page_020_p20_c3,PPT_ch7_page_020_p20_c1,PPT_CalculusReview_page_002_p2_c0",0,False,0.0
这段内容主要讲解的是什么数学规则？,5,PPT_StewartCalcET7e_03_02_page_007_p7_c0,"PPT_ch7_page_020_p20_c3,PPT_ch7_page_020_p20_c1,PPT_CalculusReview_page_002_p2_c0,PPT_ch7_page_142_p142_c2,PPT_fundamental_theorem_of_calculus___page_002_p2_c0",0,False,0.0
这个例子中的题目编号是什么？,1,PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_ch7_page_053_p53_c0,0,False,0.0
这个例子中的题目编号是什么？,3,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_ch7_page_053_p53_c0,PPT_lay_linalg5_01_05_page_008_p8_c1,PPT_CalculusReview_page_009_p9_c0",0,False,0.0
这个例子中的题目编号是什么？,5,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_ch7_page_053_p53_c0,PPT_lay_linalg5_01_05_page_008_p8_c1,PPT_CalculusReview_page_009_p9_c0,PPT_ch7_page_030_p30_c2,PPT_ch7_page_021_p21_c3",0,False,0.0
该问题的解答过程是怎样的？,1,PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_lay_linalg5_01_05_page_009_p9_c0,0,False,0.0
该问题的解答过程是怎样的？,3,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_lay_linalg5_01_05_page_009_p9_c0,PPT_fundamental_theorem_of_calculus___page_006_p6_c0,PPT_lecture1_page_009_p9_c0",0,False,0.0
该问题的解答过程是怎样的？,5,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_lay_linalg5_01_05_page_009_p9_c0,PPT_fundamental_theorem_of_calculus___page_006_p6_c0,PPT_lecture1_page_009_p9_c0,PPT_BaharMartonosi_page_006_p6_c1,PPT_ch7_page_028_p28_c2",0,False,0.0
求导过程中使用了哪种规则？,1,PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_StewartCalcET7e_03_02_page_010_p10_c0,1,True,1.0
求导过程中使用了哪种规则？,3,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_StewartCalcET7e_03_02_page_014_p14_c0,PPT_StewartCalcET7e_03_02_page_012_p12_c0",1,True,1.0
求导过程中使用了哪种规则？,5,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_StewartCalcET7e_03_02_page_014_p14_c0,PPT_StewartCalcET7e_03_02_page_012_p12_c0,PPT_StewartCalcET7e_03_02_page_015_p15_c1,PPT_StewartCalcET7e_03_02_page_007_p7_c1",1,True,1.0
为什么在矩阵乘法中必须非常仔细地注意因子的顺序？,1,PPT_ch7_page_020_p20_c0,PPT_ch7_page_020_p20_c0,1,True,1.0
为什么在矩阵乘法中必须非常仔细地注意因子的顺序？,3,PPT_ch7_page_020_p20_c0,"PPT_ch7_page_020_p20_c0,PPT_ch7_page_021_p21_c0,PPT_ch7_page_142_p142_c0",1,True,1.0
为什么在矩阵乘法中必须非常仔细地注意因子的顺序？,5,PPT_ch7_page_020_p20_c0,"PPT_ch7_page_020_p20_c0,PPT_ch7_page_021_p21_c0,PPT_ch7_page_142_p142_c0,PPT_ch7_page_030_p30_c0,PPT_ch7_page_021_p21_c1",1,True,1.0
哪一项公式展示了矩阵乘法的结合律？,1,PPT_ch7_page_020_p20_c0,PPT_ch7_page_020_p20_c0,1,True,1.0
哪一项公式展示了矩阵乘法的结合律？,3,PPT_ch7_page_020_p20_c0,"PPT_ch7_page_020_p20_c0,PPT_ch7_page_020_p20_c1,PPT_ch7_page_020_p20_c3",1,True,1.0
哪一项公式展示了矩阵乘法的结合律？,5,PPT_ch7_page_020_p20_c0,"PPT_ch7_page_020_p20_c0,PPT_ch7_page_020_p20_c1,PPT_ch7_page_020_p20_c3,PPT_ch7_page_030_p30_c1,PPT_ch7_page_034_p34_c0",1,True,1.0
这一步骤的主要目的是什么？,1,PPT_lecture1_page_009_p9_c0,PPT_BaharMartonosi_page_002_p2_c0,0,False,0.0
这一步骤的主要目的是什么？,3,PPT_lecture1_page_009_p9_c0,"PPT_BaharMartonosi_page_002_p2_c0,PPT_esea-app101_page_003_p3_c0,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c1",0,False,0.0
这一步骤的主要目的是什么？,5,PPT_lecture1_page_009_p9_c0,"PPT_BaharMartonosi_page_002_p2_c0,PPT_esea-app101_page_003_p3_c0,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c1,PPT_BaharMartonosi_page_006_p6_c1,PPT_BaharMartonosi_page_010_p10_c0",0,False,0.0
这段文字的标题是什么？,1,PPT_8076_MEYER_Chapter_2_-_Language_Change_page_017_p17_c0,PPT_BaharMartonosi_page_002_p2_c0,0,False,0.0
这段文字的标题是什么？,3,PPT_8076_MEYER_Chapter_2_-_Language_Change_page_017_p17_c0,"PPT_BaharMartonosi_page_002_p2_c0,PPT_BaharMartonosi_page_010_p10_c0,PPT_13 fallacies LALT2012_page_010_p10_c0",0,False,0.0
这段文字的标题是什么？,5,PPT_8076_MEYER_Chapter_2_-_Language_Change_page_017_p17_c0,"PPT_BaharMartonosi_page_002_p2_c0,PPT_BaharMartonosi_page_010_p10_c0,PPT_13 fallacies LALT2012_page_010_p10_c0,PPT_1001115_eng_page_011_p11_c0,PPT_BaharMartonosi_page_006_p6_c0",0,False,0.0
这段资料的标题是什么？,1,PPT_B14_Claeys_Consistent Presentation of Images_v2_page_006_p6_c0,PPT_BaharMartonosi_page_002_p2_c0,0,False,0.0
这段资料的标题是什么？,3,PPT_B14_Claeys_Consistent Presentation of Images_v2_page_006_p6_c0,"PPT_BaharMartonosi_page_002_p2_c0,PPT_PresentationSpecification_page_025_p25_c0,PPT_BaharMartonosi_page_010_p10_c0",0,False,0.0
这段资料的标题是什么？,5,PPT_B14_Claeys_Consistent Presentation of Images_v2_page_006_p6_c0,"PPT_BaharMartonosi_page_002_p2_c0,PPT_PresentationSpecification_page_025_p25_c0,PPT_BaharMartonosi_page_010_p10_c0,PPT_all655920_page_003_p3_c0,PPT_13 fallacies LALT2012_page_010_p10_c0",0,False,0.0
研究中主要依据什么方法来评估语言教师的教学效果？,1,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,1,True,1.0
研究中主要依据什么方法来评估语言教师的教学效果？,3,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,"PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c1,PPT_11.2013EvaluatingTraineeteacherproficiency_page_029_p29_c0",1,True,1.0
研究中主要依据什么方法来评估语言教师的教学效果？,5,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,"PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c1,PPT_11.2013EvaluatingTraineeteacherproficiency_page_029_p29_c0,PPT_13 fallacies LALT2012_page_009_p9_c1,PPT_13 fallacies LALT2012_page_010_p10_c0",1,True,1.0
这段文字开头提到的标题是什么？,1,PPT_1001115_eng_page_003_p3_c0,PPT_BaharMartonosi_page_002_p2_c0,0,False,0.0
这段文字开头提到的标题是什么？,3,PPT_1001115_eng_page_003_p3_c0,"PPT_BaharMartonosi_page_002_p2_c0,PPT_BaharMartonosi_page_006_p6_c0,PPT_13 fallacies LALT2012_page_010_p10_c0",0,False,0.0
这段文字开头提到的标题是什么？,5,PPT_1001115_eng_page_003_p3_c0,"PPT_BaharMartonosi_page_002_p2_c0,PPT_BaharMartonosi_page_006_p6_c0,PPT_13 fallacies LALT2012_page_010_p10_c0,PPT_BaharMartonosi_page_007_p7_c0,PPT_PresentationSpecification_page_007_p7_c0",0,False,0.0
该文档的标题是什么？,1,PPT_1001115_eng_page_015_p15_c0,PPT_all655920_page_001_p1_c0,0,False,0.0
该文档的标题是什么？,3,PPT_1001115_eng_page_015_p15_c0,"PPT_all655920_page_001_p1_c0,PPT_all655920_page_003_p3_c0,PPT_B14_Claeys_Consistent Presentation of Images_v2_page_006_p6_c0",0,False,0.0
