question,k,gold_chunk_ids,retrieved_chunk_ids,first_hit_rank,hit,hit_rate
这段内容主要讲解的是什么规则？,1,PPT_StewartCalcET7e_03_02_page_007_p7_c0,PPT_PresentationSpecification_page_025_p25_c0,0,False,0.0
这段内容主要讲解的是什么规则？,3,PPT_StewartCalcET7e_03_02_page_007_p7_c0,"PPT_PresentationSpecification_page_025_p25_c0,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c1,PPT_english-studies-s6-on-the-road-resource-3_page_002_p2_c0",0,False,0.0
这段内容主要讲解的是什么规则？,5,PPT_StewartCalcET7e_03_02_page_007_p7_c0,"PPT_PresentationSpecification_page_025_p25_c0,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c1,PPT_english-studies-s6-on-the-road-resource-3_page_002_p2_c0,PPT_CalculusReview_page_002_p2_c0,PPT_PresentationSpecification_page_010_p10_c0",0,False,0.0
这个例子中的题目编号是什么？,1,PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_ch7_page_053_p53_c0,0,False,0.0
这个例子中的题目编号是什么？,3,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_ch7_page_053_p53_c0,PPT_lay_linalg5_01_05_page_008_p8_c1,PPT_CalculusReview_page_009_p9_c0",0,False,0.0
这个例子中的题目编号是什么？,5,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_ch7_page_053_p53_c0,PPT_lay_linalg5_01_05_page_008_p8_c1,PPT_CalculusReview_page_009_p9_c0,PPT_ch7_page_028_p28_c0,PPT_ch7_page_030_p30_c2",0,False,0.0
该问题的解答部分位于何处？,1,PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_ch7_page_035_p35_c3,0,False,0.0
该问题的解答部分位于何处？,3,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_ch7_page_035_p35_c3,PPT_ch7_page_030_p30_c2,PPT_ch7_page_021_p21_c3",0,False,0.0
该问题的解答部分位于何处？,5,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_ch7_page_035_p35_c3,PPT_ch7_page_030_p30_c2,PPT_ch7_page_021_p21_c3,PPT_ch7_page_132_p132_c3,PPT_ch7_page_057_p57_c3",0,False,0.0
求导过程中使用了哪种法则？,1,PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_StewartCalcET7e_03_02_page_015_p15_c0,0,False,0.0
