question,k,gold_chunk_ids,retrieved_chunk_ids,first_hit_rank,hit,hit_rate
What was the person's previous position before returning to Taiwan?,1,PPT_1001115_eng_page_003_p3_c0,PPT_1001115_eng_page_003_p3_c0,1,True,1.0
What was the person's previous position before returning to Taiwan?,3,PPT_1001115_eng_page_003_p3_c0,"PPT_1001115_eng_page_003_p3_c0,magazine_TheEconomist.2024.02.24_page_033_p33_c2,magazine_TheEconomist.2024.02.24_page_033_p33_c3",1,True,1.0
What was the person's previous position before returning to Taiwan?,5,PPT_1001115_eng_page_003_p3_c0,"PPT_1001115_eng_page_003_p3_c0,magazine_TheEconomist.2024.02.24_page_033_p33_c2,magazine_TheEconomist.2024.02.24_page_033_p33_c3,newspaper_The Guardian UK_0801@magazinesclubnew_page_051_p51_c2,newspaper_The Globe and Mail - 2025-1-8@magazinesclubnew_page_018_p18_c16",1,True,1.0
What is the purpose of reading in lifelong learning according to the document?,1,PPT_1001115_eng_page_005_p5_c0,PPT_1001115_eng_page_005_p5_c0,1,True,1.0
What is the purpose of reading in lifelong learning according to the document?,3,PPT_1001115_eng_page_005_p5_c0,"PPT_1001115_eng_page_005_p5_c0,PPT_esea-app101_page_003_p3_c0,jiaocaineedrop_jiaocai_needrop_en_237_p237_c0",1,True,1.0
What is the purpose of reading in lifelong learning according to the document?,5,PPT_1001115_eng_page_005_p5_c0,"PPT_1001115_eng_page_005_p5_c0,PPT_esea-app101_page_003_p3_c0,jiaocaineedrop_jiaocai_needrop_en_237_p237_c0,notes_f7f010b78016aeebd76e56d9283eb67f_90_p90_c1,yanbaopptmerge_yanbaoPPT_1810_p1810_c0",1,True,1.0
What websites are recommended for grammar checking?,1,PPT_1001115_eng_page_011_p11_c0,PPT_1001115_eng_page_011_p11_c0,1,True,1.0
What websites are recommended for grammar checking?,3,PPT_1001115_eng_page_011_p11_c0,"PPT_1001115_eng_page_011_p11_c0,color_textbook_教材全解1+1二年级上册英语上海牛津版_page_067_p67_c1,jiaocaineedrop_jiaocai_needrop_en_3399_p3399_c0",1,True,1.0
What websites are recommended for grammar checking?,5,PPT_1001115_eng_page_011_p11_c0,"PPT_1001115_eng_page_011_p11_c0,color_textbook_教材全解1+1二年级上册英语上海牛津版_page_067_p67_c1,jiaocaineedrop_jiaocai_needrop_en_3399_p3399_c0,color_textbook_zhonggaokao_小学_KET听说读写逐项突破_KET听说读写逐项突破之轻松搞定KET写作25分 【10讲 褚连一】_第05讲第五课写作Part7详解_第五课写作Part7详解_page_001_p1_c0,notes_f7f010b78016aeebd76e56d9283eb67f_91_p91_c0",1,True,1.0
What is the link to the English phonetics resource?,1,PPT_1001115_eng_page_015_p15_c0,PPT_1001115_eng_page_015_p15_c0,1,True,1.0
What is the link to the English phonetics resource?,3,PPT_1001115_eng_page_015_p15_c0,"PPT_1001115_eng_page_015_p15_c0,color_textbook_教材全解1+1二年级下册英语上海牛津版_page_081_p81_c3,PPT_1001115_eng_page_011_p11_c0",1,True,1.0
What is the link to the English phonetics resource?,5,PPT_1001115_eng_page_015_p15_c0,"PPT_1001115_eng_page_015_p15_c0,color_textbook_教材全解1+1二年级下册英语上海牛津版_page_081_p81_c3,PPT_1001115_eng_page_011_p11_c0,book_en_国外数学教材-非数学专业教材-线性代数-Gilbert Strang—Linear Algebra and Its Applications 4e_0007_p7_c1,jiaocaineedrop_jiaocai_needrop_en_3399_p3399_c0",1,True,1.0
What did Girard focus on in teaching?,1,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,1,True,1.0
What did Girard focus on in teaching?,3,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,"PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,jiaocaineedrop_socialsci-74973.pdf_31_p31_c5,jiaocaineedrop_socialsci-74973.pdf_31_p31_c7",1,True,1.0
What did Girard focus on in teaching?,5,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,"PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,jiaocaineedrop_socialsci-74973.pdf_31_p31_c5,jiaocaineedrop_socialsci-74973.pdf_31_p31_c7,jiaocaineedrop_socialsci-74973.pdf_31_p31_c6,jiaocaineedrop_jiaocai_needrop_en_443_p443_c1",1,True,1.0
What did Yilmaz 2011 examine regarding Turkish teachers' perceptions?,1,PPT_11.2013EvaluatingTraineeteacherproficiency_page_029_p29_c0,PPT_11.2013EvaluatingTraineeteacherproficiency_page_029_p29_c0,1,True,1.0
What did Yilmaz 2011 examine regarding Turkish teachers' perceptions?,3,PPT_11.2013EvaluatingTraineeteacherproficiency_page_029_p29_c0,"PPT_11.2013EvaluatingTraineeteacherproficiency_page_029_p29_c0,jiaocaineedrop_socialsci-74973.pdf_31_p31_c7,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0",1,True,1.0
What did Yilmaz 2011 examine regarding Turkish teachers' perceptions?,5,PPT_11.2013EvaluatingTraineeteacherproficiency_page_029_p29_c0,"PPT_11.2013EvaluatingTraineeteacherproficiency_page_029_p29_c0,jiaocaineedrop_socialsci-74973.pdf_31_p31_c7,PPT_11.2013EvaluatingTraineeteacherproficiency_page_010_p10_c0,PPT_8076_MEYER_Chapter_2_-_Language_Change_page_017_p17_c0,jiaocaineedrop_socialsci-74973.pdf_31_p31_c6",1,True,1.0
What was the title of the meeting held in December 2012?,1,PPT_13 fallacies LALT2012_page_001_p1_c0,newspaper_0ce88e1e131aef7a59d0533be36870de_1_p1_c4,0,False,0.0
What was the title of the meeting held in December 2012?,3,PPT_13 fallacies LALT2012_page_001_p1_c0,"newspaper_0ce88e1e131aef7a59d0533be36870de_1_p1_c4,magazine_TheEconomist.2023.12.16_page_049_p49_c1,newspaper_d6cd76e5afe881630173bd4921531a4b_1_p1_c3",0,False,0.0
What was the title of the meeting held in December 2012?,5,PPT_13 fallacies LALT2012_page_001_p1_c0,"newspaper_0ce88e1e131aef7a59d0533be36870de_1_p1_c4,magazine_TheEconomist.2023.12.16_page_049_p49_c1,newspaper_d6cd76e5afe881630173bd4921531a4b_1_p1_c3,newspaper_2a645bfcbcd473423581cd9f1ceb778e_1_p1_c0,newspaper_354720d92a632709eb8e61795b191390_1_p1_c4",0,False,0.0
What term describes the deep-rooted bias in British culture and among language teachers towards native English speakers?,1,PPT_13 fallacies LALT2012_page_009_p9_c0,PPT_13 fallacies LALT2012_page_009_p9_c0,1,True,1.0
What term describes the deep-rooted bias in British culture and among language teachers towards native English speakers?,3,PPT_13 fallacies LALT2012_page_009_p9_c0,"PPT_13 fallacies LALT2012_page_009_p9_c0,PPT_13 fallacies LALT2012_page_010_p10_c0,PPT_EnglishtoAmericanTransition_page_003_p3_c0",1,True,1.0
What term describes the deep-rooted bias in British culture and among language teachers towards native English speakers?,5,PPT_13 fallacies LALT2012_page_009_p9_c0,"PPT_13 fallacies LALT2012_page_009_p9_c0,PPT_13 fallacies LALT2012_page_010_p10_c0,PPT_EnglishtoAmericanTransition_page_003_p3_c0,PPT_1637904769_page_017_p17_c0,PPT_1637904769_page_017_p17_c1",1,True,1.0
Which book is published by Cambridge University Press according to the fragment?,1,PPT_13 fallacies LALT2012_page_010_p10_c0,PPT_13 fallacies LALT2012_page_010_p10_c0,1,True,1.0
Which book is published by Cambridge University Press according to the fragment?,3,PPT_13 fallacies LALT2012_page_010_p10_c0,"PPT_13 fallacies LALT2012_page_010_p10_c0,PPT_13 fallacies LALT2012_page_010_p10_c1,PPT_8076_MEYER_Chapter_2_-_Language_Change_page_014_p14_c0",1,True,1.0
Which book is published by Cambridge University Press according to the fragment?,5,PPT_13 fallacies LALT2012_page_010_p10_c0,"PPT_13 fallacies LALT2012_page_010_p10_c0,PPT_13 fallacies LALT2012_page_010_p10_c1,PPT_8076_MEYER_Chapter_2_-_Language_Change_page_014_p14_c0,docstructbench_llm-raw-scihub-o.O-s00128-009-9752-2.pdf_5_p5_c4,docstructbench_llm-raw-scihub-o.O-s00128-009-9752-2.pdf_5_p5_c0",1,True,1.0
Which book is published by Cambridge University Press?,1,PPT_13 fallacies LALT2012_page_010_p10_c1,PPT_13 fallacies LALT2012_page_010_p10_c0,0,False,0.0
Which book is published by Cambridge University Press?,3,PPT_13 fallacies LALT2012_page_010_p10_c1,"PPT_13 fallacies LALT2012_page_010_p10_c0,PPT_8076_MEYER_Chapter_2_-_Language_Change_page_014_p14_c0,PPT_13 fallacies LALT2012_page_010_p10_c1",3,True,1.0
