question,k,gold_chunk_ids,retrieved_chunk_ids,first_hit_rank,hit,hit_rate
这段文字主要讨论的是什么内容？,1,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c0,notes_f7f010b78016aeebd76e56d9283eb67f_94_p94_P0_c4,0,False,0.0
这段文字主要讨论的是什么内容？,3,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c0,"notes_f7f010b78016aeebd76e56d9283eb67f_94_p94_P0_c4,yanbaopptmerge_yanbaoPPT_455_p455_P0_c1,yanbaopptmerge_yanbaoPPT_455_p455_P0_c0",0,False,0.0
这段文字主要讨论的是什么内容？,5,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c0,"notes_f7f010b78016aeebd76e56d9283eb67f_94_p94_P0_c4,yanbaopptmerge_yanbaoPPT_455_p455_P0_c1,yanbaopptmerge_yanbaoPPT_455_p455_P0_c0,jiaocai_jiaocai_en_117_p117_P0_c0,notes_f7f010b78016aeebd76e56d9283eb67f_97_p97_c0",0,False,0.0
2014年到2023年第三季度，国资背景基金的备案数量和规模变化情况如何？,1,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c1,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c1,1,True,1.0
2014年到2023年第三季度，国资背景基金的备案数量和规模变化情况如何？,3,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c1,"eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c1,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c6,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c2",1,True,1.0
2014年到2023年第三季度，国资背景基金的备案数量和规模变化情况如何？,5,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c1,"eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c1,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c6,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c2,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c4,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c3",1,True,1.0
哪些地区在2014年-2023Q3期间国资背景基金数量排名前10？,1,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c2,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c1,0,False,0.0
哪些地区在2014年-2023Q3期间国资背景基金数量排名前10？,3,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c2,"eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c1,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c2,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c6",2,True,1.0
哪些地区在2014年-2023Q3期间国资背景基金数量排名前10？,5,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c2,"eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c1,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c2,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c6,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_c0,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c4",2,True,1.0
该报告中提到的核心内容是什么？,1,eastmoney_59cde7e939acc3124df9d3f2c85b5a0ec41b9da1157d5be38e098672022b47cb.pdf_11_p11_P0_c2,eastmoney_d2bb183f5254ede5760932ac3118524aa7eddad551935713b435541f1525c1ee.pdf_7_p7_P1_c1,0,False,0.0
