question,k,gold_chunk_ids,retrieved_chunk_ids,first_hit_rank,hit,hit_rate
这段内容主要讲解的是什么规则？,1,PPT_StewartCalcET7e_03_02_page_007_p7_c0,PPT_BaharMartonosi_page_006_p6_c0,0,False,0.0
这段内容主要讲解的是什么规则？,3,PPT_StewartCalcET7e_03_02_page_007_p7_c0,"PPT_BaharMartonosi_page_006_p6_c0,PPT_1001115_eng_page_015_p15_c0,PPT_PresentationSpecification_page_010_p10_c0",0,False,0.0
这段内容主要讲解的是什么规则？,5,PPT_StewartCalcET7e_03_02_page_007_p7_c0,"PPT_BaharMartonosi_page_006_p6_c0,PPT_1001115_eng_page_015_p15_c0,PPT_PresentationSpecification_page_010_p10_c0,PPT_all655920_page_002_p2_c0,PPT_lay_linalg5_01_05_page_009_p9_c2",0,False,0.0
这个例子的标题是什么？,1,PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_BaharMartonosi_page_006_p6_c0,0,False,0.0
这个例子的标题是什么？,3,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_BaharMartonosi_page_006_p6_c0,PPT_1001115_eng_page_003_p3_c0,PPT_PresentationSpecification_page_010_p10_c0",0,False,0.0
这个例子的标题是什么？,5,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_BaharMartonosi_page_006_p6_c0,PPT_1001115_eng_page_003_p3_c0,PPT_PresentationSpecification_page_010_p10_c0,PPT_1001115_eng_page_015_p15_c0,PPT_B14_Claeys_Consistent Presentation of Images_v2_page_010_p10_c0",0,False,0.0
该问题的解答过程开始于哪一部分？,1,PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_BaharMartonosi_page_006_p6_c0,0,False,0.0
该问题的解答过程开始于哪一部分？,3,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_BaharMartonosi_page_006_p6_c0,PPT_1001115_eng_page_015_p15_c0,PPT_1001115_eng_page_003_p3_c0",0,False,0.0
该问题的解答过程开始于哪一部分？,5,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_BaharMartonosi_page_006_p6_c0,PPT_1001115_eng_page_015_p15_c0,PPT_1001115_eng_page_003_p3_c0,PPT_all655920_page_003_p3_c0,PPT_lay_linalg5_01_05_page_009_p9_c2",0,False,0.0
求导过程中使用了哪种规则？,1,PPT_StewartCalcET7e_03_02_page_010_p10_c0,PPT_CalculusReview_page_002_p2_c0,0,False,0.0
求导过程中使用了哪种规则？,3,PPT_StewartCalcET7e_03_02_page_010_p10_c0,"PPT_CalculusReview_page_002_p2_c0,PPT_CalculusReview_page_004_p4_c0,PPT_StewartCalcET7e_03_02_page_014_p14_c0",0,False,0.0
