question,k,gold_chunk_ids,retrieved_chunk_ids,first_hit_rank,hit,hit_rate
What was the professor's previous position before returning to Taiwan?,1,PPT_1001115_eng_page_003_p3_c0,PPT_1001115_eng_page_003_p3_c0,1,True,1.0
What was the professor's previous position before returning to Taiwan?,3,PPT_1001115_eng_page_003_p3_c0,"PPT_1001115_eng_page_003_p3_c0,newspaper_14b9d21f7fed39fb42849e9cde233930_1_p1_c5,scihub_md.0000000000002934.pdf_0_p0_c4",1,True,1.0
What was the professor's previous position before returning to Taiwan?,5,PPT_1001115_eng_page_003_p3_c0,"PPT_1001115_eng_page_003_p3_c0,newspaper_14b9d21f7fed39fb42849e9cde233930_1_p1_c5,scihub_md.0000000000002934.pdf_0_p0_c4,yanbaor2_ey-financial-sustainability-whitepaper.pdf_17_p17_c2,magazine_TheEconomist.2024.02.24_page_033_p33_c3",1,True,1.0
What is the purpose of reading in lifelong learning according to the document?,1,PPT_1001115_eng_page_005_p5_c0,PPT_1001115_eng_page_005_p5_c0,1,True,1.0
What is the purpose of reading in lifelong learning according to the document?,3,PPT_1001115_eng_page_005_p5_c0,"PPT_1001115_eng_page_005_p5_c0,PPT_esea-app101_page_003_p3_c0,jiaocaineedrop_jiaocai_needrop_en_237_p237_c0",1,True,1.0
What is the purpose of reading in lifelong learning according to the document?,5,PPT_1001115_eng_page_005_p5_c0,"PPT_1001115_eng_page_005_p5_c0,PPT_esea-app101_page_003_p3_c0,jiaocaineedrop_jiaocai_needrop_en_237_p237_c0,jiaocaineedrop_jiaocai_needrop_en_1836_p1836_c0,PPT_english-studies-s6-on-the-road-resource-3_page_003_p3_c0",1,True,1.0
What are some tools mentioned for grammar checking?,1,PPT_1001115_eng_page_011_p11_c0,PPT_1001115_eng_page_011_p11_c0,1,True,1.0
What are some tools mentioned for grammar checking?,3,PPT_1001115_eng_page_011_p11_c0,"PPT_1001115_eng_page_011_p11_c0,notes_f7f010b78016aeebd76e56d9283eb67f_93_p93_c0,yanbaor2_yanbaoPPT_2098_p2098_c0",1,True,1.0
What are some tools mentioned for grammar checking?,5,PPT_1001115_eng_page_011_p11_c0,"PPT_1001115_eng_page_011_p11_c0,notes_f7f010b78016aeebd76e56d9283eb67f_93_p93_c0,yanbaor2_yanbaoPPT_2098_p2098_c0,PPT_1001115_eng_page_011_p11_c1,jiaocaineedrop_jiaocai_needrop_en_443_p443_c0",1,True,1.0
What should students ask their professors to correct?,1,PPT_1001115_eng_page_011_p11_c1,PPT_1001115_eng_page_011_p11_c1,1,True,1.0
What should students ask their professors to correct?,3,PPT_1001115_eng_page_011_p11_c1,"PPT_1001115_eng_page_011_p11_c1,exam_paper_2018年广西北海、钦州、南宁、来宾、崇左、防城港、北部湾经济区中考英语试题（空白卷）_page_003_p3_c1,yanbaopptmerge_yanbaoPPT_4630_p4630_c1",1,True,1.0
