question,k,gold_chunk_ids,retrieved_chunk_ids,first_hit_rank,hit,hit_rate
What platforms are being used to educate Chinese retail investors?,1,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,1,True,1.0
What platforms are being used to educate Chinese retail investors?,3,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,"yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,jiaocaineedrop_jiaocai_needrop_en_2884_p2884_c0,magazine_TheEconomist.2023.12.23_page_024_p24_c1",1,True,1.0
What platforms are being used to educate Chinese retail investors?,5,yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,"yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14_p14_c0,jiaocaineedrop_jiaocai_needrop_en_2884_p2884_c0,magazine_TheEconomist.2023.12.23_page_024_p24_c1,yanbaor2_7f386f737cb55cffa10c8321a94bd38d7169cd69b3b253b9e2e502c12a68feea.pdf_15_p15_c0,jiaocaineedrop_jiaocai_needrop_en_961_p961_c0",1,True,1.0
盐池县女生数量的依据来自何处？,1,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,1,True,1.0
盐池县女生数量的依据来自何处？,3,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,"docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c0,newspaper_2c69e142b52dbb30cac2cb11d3eb25e5_1_p1_c1",1,True,1.0
盐池县女生数量的依据来自何处？,5,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,"docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c1,docstructbench_dianzishu_zhongwenzaixian-o.O-61323717.pdf_203_p203_c0,newspaper_2c69e142b52dbb30cac2cb11d3eb25e5_1_p1_c1,jiaocaineedrop_jiaocai_needrop_en_155_p155_c1,yanbaor2_bfe5f11c4ad2e94d966ef6801dc992816f42c9150e2be42b008c95f59713e901.pdf_137_p137_c0",1,True,1.0
What is the deadline for submitting the Group Presentation Topic and Description?,1,PPT_PresentationSpecification_page_007_p7_c0,PPT_PresentationSpecification_page_007_p7_c0,1,True,1.0
What is the deadline for submitting the Group Presentation Topic and Description?,3,PPT_PresentationSpecification_page_007_p7_c0,"PPT_PresentationSpecification_page_007_p7_c0,PPT_BaharMartonosi_page_006_p6_c0,yanbaopptmerge_e60b3b61281e87ddf42f9321a9e6ef9d.pdf_159_p159_c1",1,True,1.0
What is the deadline for submitting the Group Presentation Topic and Description?,5,PPT_PresentationSpecification_page_007_p7_c0,"PPT_PresentationSpecification_page_007_p7_c0,PPT_BaharMartonosi_page_006_p6_c0,yanbaopptmerge_e60b3b61281e87ddf42f9321a9e6ef9d.pdf_159_p159_c1,newspaper_The Globe and Mail - 2025-1-8@magazinesclubnew_page_014_p14_c0,jiaocaineedrop_jiaocai_needrop_en_961_p961_c0",1,True,1.0
What is a prisoner point according to the document fragment?,1,jiaocaineedrop_glossary.pdf_7_p7_c0,jiaocaineedrop_glossary.pdf_7_p7_c0,1,True,1.0
